country,date,state,city,station,latitude,longitude,pollutant id,pollutant min,pollutant max,pollutant avg
India,31-05-2026,West Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB",23.51,87.35,SO2,9,13,10
India,31-05-2026,West Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB",23.55,87.3,PM10,36,104,67
India,31-05-2026,West Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB",23.55,87.3,NH3,5,5,5
India,31-05-2026,West Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB",23.55,87.3,OZONE,2,46,23
India,31-05-2026,West Bengal,Howrah,"Belur Math, Howrah - WBPCB",22.63,88.35,NH3,4,5,5
India,31-05-2026,West Bengal,Howrah,"Belur Math, Howrah - WBPCB",22.63,88.35,OZONE,8,62,35
India,31-05-2026,West Bengal,Howrah,"Botanical Garden, Howrah - WBPCB",22.55,88.29,PM10,25,67,41
India,31-05-2026,West Bengal,Howrah,"Dasnagar, Howrah - WBPCB",22.6,88.31,NH3,1,3,2
India,31-05-2026,West Bengal,Howrah,"Dasnagar, Howrah - WBPCB",22.6,88.31,SO2,6,8,7
India,31-05-2026,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",22.57,88.28,PM2.5,22,49,35
India,31-05-2026,Uttar Pradesh,Noida,"Sector - 62, Noida - IITM",28.62,77.36,OZONE,60,159,85
India,31-05-2026,Uttar Pradesh,Noida,"Sector-1, Noida - UPPCB",28.59,77.31,PM10,39,444,96
India,31-05-2026,Uttar Pradesh,Noida,"Sector-1, Noida - UPPCB",28.59,77.31,SO2,4,8,6
India,31-05-2026,Uttar Pradesh,Noida,"Sector-1, Noida - UPPCB",28.59,77.31,OZONE,29,160,84
India,31-05-2026,Uttar Pradesh,Noida,"Sector-116, Noida - UPPCB",28.57,77.39,CO,32,72,48
India,31-05-2026,Uttar Pradesh,Noida,"Sector-116, Noida - UPPCB",28.57,77.39,OZONE,40,153,42
India,31-05-2026,Uttar Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",25.43,81.92,CO,8,20,15
India,31-05-2026,Uttar Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",25.43,81.92,OZONE,24,96,36
India,31-05-2026,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",25.35,82.91,PM10,49,105,78
India,31-05-2026,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",25.35,82.91,CO,19,20,20
India,31-05-2026,Uttar Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB",25.3,83,NO2,7,8,8
India,31-05-2026,Uttar Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",25.26,83,NO2,0,0,0
India,31-05-2026,West Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",22.54,88.36,PM10,24,67,46
India,31-05-2026,West Bengal,Kolkata,"Fort William, Kolkata - WBPCB",22.56,88.34,PM2.5,37,76,53
India,31-05-2026,West Bengal,Kolkata,"Fort William, Kolkata - WBPCB",22.56,88.34,PM10,39,80,56
India,31-05-2026,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",22.63,88.38,CO,30,66,37
India,31-05-2026,West Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",22.51,88.35,NO2,24,128,77
India,31-05-2026,West Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",22.51,88.35,NH3,7,10,8
India,31-05-2026,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",22.54,88.34,PM2.5,34,90,61
India,31-05-2026,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",22.54,88.34,OZONE,11,47,30
India,31-05-2026,West Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",26.69,88.42,NO2,39,68,50
India,31-05-2026,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",17.35,78.45,NO2,2,7,5
India,31-05-2026,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",17.35,78.45,NH3,2,3,3
India,31-05-2026,Uttar Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB",27.19,77.96,OZONE,7,11,9
India,31-05-2026,Uttar Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",27.17,78.04,PM2.5,29,96,67
India,31-05-2026,Uttar Pradesh,Agra,"Shastripuram, Agra - UPPCB",27.2,77.92,SO2,5,6,5
India,31-05-2026,Uttar Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB",28.96,77.28,SO2,12,37,25
India,31-05-2026,Uttar Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB",28.39,79.43,NO2,6,10,9
India,31-05-2026,Uttar Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB",28.89,78.74,OZONE,11,30,13
India,31-05-2026,Uttar Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB",28.86,78.77,CO,39,40,40
India,31-05-2026,Uttar Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB",28.85,78.74,SO2,5,82,36
India,31-05-2026,Uttar Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",29.47,77.72,NH3,2,6,3
India,31-05-2026,Uttar Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",29.47,77.72,SO2,15,28,22
India,31-05-2026,Uttar Pradesh,Noida,"Sector - 62, Noida - IITM",28.62,77.36,PM10,15,177,71
India,31-05-2026,Bihar,Patna,"Samanpura, Patna - BSPCB",25.6,85.09,OZONE,44,51,48
India,31-05-2026,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",25.37,87.12,PM10,44,60,51
India,31-05-2026,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",25.37,87.12,SO2,16,17,16
India,31-05-2026,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",25.03,85.42,NO2,13,15,14
India,31-05-2026,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",25.89,86.59,CO,18,38,33
India,31-05-2026,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",25.89,86.59,OZONE,7,26,15
India,31-05-2026,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",25.86,85.78,PM2.5,2,92,47
India,31-05-2026,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",24.95,84,PM10,25,121,67
India,31-05-2026,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",24.95,84,NO2,1,10,3
India,31-05-2026,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",24.95,84,NH3,2,7,3
India,31-05-2026,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",26.23,84.36,PM10,0,0,0
India,31-05-2026,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",26.23,84.36,NH3,1,2,1
India,31-05-2026,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",30.74,76.78,PM10,6,48,30
India,31-05-2026,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",30.74,76.78,NH3,7,12,9
India,31-05-2026,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",30.74,76.78,CO,62,103,69
India,31-05-2026,Bihar,Arrah,"New DM Office, Arrah - BSPCB",25.56,84.66,NH3,2,2,2
India,31-05-2026,Bihar,Arrah,"New DM Office, Arrah - BSPCB",25.56,84.66,CO,48,61,54
India,31-05-2026,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",24.76,84.37,NH3,1,2,1
India,31-05-2026,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",25.43,86.14,PM2.5,23,95,54
India,31-05-2026,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26.8,84.52,PM10,11,42,29
India,31-05-2026,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26.8,84.52,OZONE,13,23,22
India,31-05-2026,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25.25,86.99,NH3,1,1,1
India,31-05-2026,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25.27,87.01,NO2,6,8,7
India,31-05-2026,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25.27,87.01,NH3,1,5,2
India,31-05-2026,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25.27,87.01,SO2,3,43,15
India,31-05-2026,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",25.2,85.51,PM10,16,74,43
India,31-05-2026,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",25.78,84.74,PM2.5,92,92,92
India,31-05-2026,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",16.54,80.59,NO2,0,0,0
India,31-05-2026,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",16.54,80.59,NH3,0,0,0
India,31-05-2026,Andhra Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",16.49,80.7,PM2.5,50,79,57
India,31-05-2026,Andhra Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",16.49,80.7,OZONE,38,104,38
India,31-05-2026,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",16.51,80.61,PM10,37,223,71
India,31-05-2026,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",16.51,80.61,SO2,13,17,14
India,31-05-2026,Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",16.55,80.65,PM10,62,173,69
India,31-05-2026,Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",16.55,80.65,NH3,5,6,6
India,31-05-2026,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3,NO2,14,101,38
India,31-05-2026,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",27.1,93.68,PM2.5,2,90,41
India,31-05-2026,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",27.1,93.68,NH3,1,1,1
India,31-05-2026,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26.11,91.59,PM2.5,17,78,43
India,31-05-2026,Andhra Pradesh,Eluru,"District Court, Eluru - APPCB",16.71,81.09,OZONE,9,47,25
India,31-05-2026,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",14.47,78.82,NO2,15,21,16
India,31-05-2026,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",14.47,78.82,CO,14,34,18
India,31-05-2026,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",14.47,78.82,OZONE,19,51,19
India,31-05-2026,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",16.19,81.13,PM10,42,57,52
India,31-05-2026,Andhra Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",14.44,79.97,NO2,26,34,29
India,31-05-2026,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.99,81.74,PM2.5,15,79,35
India,31-05-2026,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.99,81.74,PM10,24,91,47
India,31-05-2026,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",13.62,79.41,PM2.5,43,48,45
India,31-05-2026,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",13.62,79.41,NH3,5,6,5
India,31-05-2026,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",26.63,84.9,CO,12,19,13
India,31-05-2026,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",26.63,84.9,OZONE,8,35,25
India,31-05-2026,Bihar,Munger,"Town Hall, Munger - BSPCB",25.38,86.47,NO2,6,8,7
India,31-05-2026,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",26.11,85.4,NH3,7,10,8
