AQI_ID,Location_ID,country,date,state,city,station,latitude,longitude,pollutant id,pollutant min,pollutant max,pollutant avg
A47,L11,India,31-05-2026,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",25.59,85.04,SO2,5,8,6
A48,L11,India,31-05-2026,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",25.59,85.23,PM10,93,110,103
A49,L11,India,31-05-2026,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",25.61,85.13,CO,6,30,6
A50,L11,India,31-05-2026,Bihar,Patna,"Muradpur, Patna - BSPCB",25.62,85.15,NO2,5,6,5
A51,L11,India,31-05-2026,Bihar,Patna,"Muradpur, Patna - BSPCB",25.62,85.15,NH3,4,5,5
A52,L11,India,31-05-2026,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",25.6,85.11,SO2,6,12,9
A53,L11,India,31-05-2026,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",25.6,85.11,CO,64,108,72
A54,L12,India,31-05-2026,Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",16.32,80.41,OZONE,44,53,44
A55,L13,India,31-05-2026,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",16.19,81.13,PM2.5,45,61,56
A56,L13,India,31-05-2026,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",16.19,81.13,CO,10,50,18
A57,L13,India,31-05-2026,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",16.19,81.13,OZONE,24,40,24
A58,L14,India,31-05-2026,Andhra Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",14.44,79.97,SO2,3,13,8
A59,L14,India,31-05-2026,Andhra Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",14.44,79.97,OZONE,31,53,37
A60,L15,India,31-05-2026,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.99,81.74,NO2,7,38,18
A61,L15,India,31-05-2026,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.99,81.74,SO2,3,7,5
A62,L15,India,31-05-2026,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.99,81.74,CO,18,48,25
A63,L16,India,31-05-2026,Andhra Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",13.67,79.35,PM2.5,5,53,32
A64,L16,India,31-05-2026,Andhra Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",13.67,79.35,NO2,27,93,52
A65,L17,India,31-05-2026,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",13.62,79.41,PM10,60,66,63
A66,L17,India,31-05-2026,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",13.62,79.41,SO2,15,18,16
A67,L1,India,31-05-2026,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",16.54,80.59,PM2.5,0,0,0
A68,L18,India,31-05-2026,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",30.75,76.76,NH3,10,12,12
A69,L18,India,31-05-2026,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",30.75,76.76,CO,11,38,18
A70,L19,India,31-05-2026,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",21.19,81.31,NH3,0,0,0
A71,L19,India,31-05-2026,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",21.22,81.41,NH3,0,0,0
A72,L19,India,31-05-2026,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",21.22,81.41,CO,0,0,0
A73,L19,India,31-05-2026,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",21.22,81.41,OZONE,0,0,0
A74,L20,India,31-05-2026,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",22.35,82.55,PM10,0,0,0
A75,L20,India,31-05-2026,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",22.35,82.55,NO2,0,0,0
A76,L20,India,31-05-2026,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",22.35,82.55,NH3,0,0,0
A77,L20,India,31-05-2026,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",22.35,82.55,SO2,0,0,0
A78,L20,India,31-05-2026,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",22.35,82.55,OZONE,0,0,0
A79,L21,India,31-05-2026,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",22.13,83.48,SO2,3,21,8
A80,L22,India,31-05-2026,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",22.19,83.52,SO2,0,0,0
A81,L22,India,31-05-2026,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",22.19,83.52,CO,0,0,0
A82,L6,India,31-05-2026,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",21.26,81.58,PM2.5,17,59,37
A83,L6,India,31-05-2026,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",21.26,81.58,SO2,4,13,6
A84,L23,India,31-05-2026,Bihar,Gaya,"Collectorate, Gaya - BSPCB",24.8,85,NO2,9,9,9
A85,L23,India,31-05-2026,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",24.79,84.99,PM2.5,17,193,78
A86,L23,India,31-05-2026,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",24.79,84.99,PM10,29,208,116
A87,L23,India,31-05-2026,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",24.79,84.99,NH3,1,2,1
A88,L23,India,31-05-2026,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",24.79,84.99,CO,28,30,29
A89,L23,India,31-05-2026,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",24.76,84.98,PM2.5,27,49,37
A90,L23,India,31-05-2026,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",24.76,84.98,OZONE,4,41,18
A91,L24,India,31-05-2026,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25.56,87.55,NH3,1,1,1
A92,L24,India,31-05-2026,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25.56,87.55,SO2,19,27,23
A93,L24,India,31-05-2026,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25.56,87.55,CO,78,103,98
A94,L25,India,31-05-2026,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26.09,87.94,NO2,7,8,8
A95,L25,India,31-05-2026,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26.09,87.94,NH3,3,3,3
