Location_ID,state,city
L201,Uttar Pradesh,Jhansi
L202,Uttar Pradesh,Kanpur
L203,Uttar Pradesh,Khora
L204,Uttar Pradesh,Khurja
L205,West Bengal,Howrah
L206,West Bengal,Kolkata
L207,West Bengal,Siliguri
L208,Uttar Pradesh,Vrindavan
L209,Uttarakhand,Dehradun
L210,Uttarakhand,Rishikesh
L211,West Bengal,Asansol
L212,West Bengal,Barrackpore
L213,Uttar Pradesh,Bulandshahr
L214,Uttar Pradesh,Firozabad
L215,Uttar Pradesh,Ghaziabad
L216,Uttar Pradesh,Agra
L217,Uttar Pradesh,Baghpat
L218,Uttar Pradesh,Bareilly
L219,West Bengal,Durgapur
L220,West Bengal,Haldia
L221,Uttar Pradesh,Lucknow
L222,Uttar Pradesh,Meerut
L223,Uttar Pradesh,Noida
L224,Uttar Pradesh,Prayagraj
L225,Uttar Pradesh,Raebareli
L226,Uttar Pradesh,Varanasi
L227,Uttar Pradesh,Moradabad
L228,Chhattisgarh,Bilaspur
L229,Bihar,Bihar Sharif
L230,Bihar,Buxar
L231,Bihar,Hajipur
L232,Andhra Pradesh,Eluru
L233,Andhra Pradesh,Kadapa
L234,Andhra Pradesh,Chittoor
L235,Gujarat,Rajkot
L236,Gujarat,Vapi
L237,Haryana,Kurukshetra
L238,Haryana,Sirsa
L239,Himachal Pradesh,Baddi
L240,Madhya Pradesh,Damoh
L241,Kerala,Kannur
L242,Kerala,Thrissur
L243,Madhya Pradesh,Maihar
L244,Nagaland,Kohima
L245,Odisha,Brajrajnagar
L246,Maharashtra,Jalna
L247,Maharashtra,Nagpur
L248,Maharashtra,Satara
L249,Maharashtra,Mahad
L250,Odisha,Cuttack
L251,TamilNadu,Gummidipoondi
L252,Punjab,Bathinda
L253,Punjab,Rupnagar
L254,Rajasthan,Baran
L255,Rajasthan,Bhilwara
L256,Uttarakhand,Kashipur
L257,Uttar Pradesh,Muzaffarnagar
L258,Bihar,Motihari
L259,Karnataka,Vijayapura
L260,Rajasthan,Pali
L261,Rajasthan,Sikar
L262,Odisha,Nayagarh
L263,Uttar Pradesh,Hapur
L264,Madhya Pradesh,Pithampur
L265,Punjab,Jalandhar
L266,Jammu_and_Kashmir,Pampore
L267,Jammu_and_Kashmir,Srinagar
